rel.group,area,year,season,program,length,lendist
7,3,1990,1,RTTP,92,0
7,3,1990,1,RTTP,94,0
7,3,1990,1,RTTP,96,0
7,3,1990,1,RTTP,98,0
7,3,1990,1,RTTP,100,0
7,3,1990,1,RTTP,102,0
7,3,1990,1,RTTP,104,0
7,3,1990,1,RTTP,106,0
7,3,1990,1,RTTP,108,0
7,3,1990,1,RTTP,110,0
7,3,1990,1,RTTP,112,0
7,3,1990,1,RTTP,114,0
7,3,1990,1,RTTP,116,0
7,3,1990,1,RTTP,118,0
7,3,1990,1,RTTP,120,0
7,3,1990,1,RTTP,122,0
7,3,1990,1,RTTP,124,0
7,3,1990,1,RTTP,126,0
7,3,1990,1,RTTP,128,0
7,3,1990,1,RTTP,130,0
7,3,1990,1,RTTP,132,0
7,3,1990,1,RTTP,134,0
7,3,1990,1,RTTP,136,0
7,3,1990,1,RTTP,138,0
7,3,1990,1,RTTP,140,0
7,3,1990,1,RTTP,142,0
7,3,1990,1,RTTP,144,0
7,3,1990,1,RTTP,146,0
7,3,1990,1,RTTP,148,0
7,3,1990,1,RTTP,150,0
7,3,1990,1,RTTP,152,0
7,3,1990,1,RTTP,154,0
7,3,1990,1,RTTP,156,0
7,3,1990,1,RTTP,158,0
7,3,1990,1,RTTP,160,0
7,3,1990,1,RTTP,162,0
7,3,1990,1,RTTP,164,0
7,3,1990,1,RTTP,166,0
7,3,1990,1,RTTP,168,0
7,3,1990,1,RTTP,170,0
7,3,1990,1,RTTP,172,0
7,3,1990,1,RTTP,174,0
7,3,1990,1,RTTP,176,0
7,3,1990,1,RTTP,178,0
7,3,1990,1,RTTP,180,0
7,3,1990,1,RTTP,182,0
7,3,1990,1,RTTP,184,0
7,3,1990,1,RTTP,186,0
7,3,1990,1,RTTP,188,0
7,3,1990,1,RTTP,190,0
7,3,1990,1,RTTP,192,0
7,3,1990,1,RTTP,194,0
7,3,1990,1,RTTP,196,0
7,3,1990,1,RTTP,198,0
8,3,1990,2,RTTP,10,0
8,3,1990,2,RTTP,12,0
8,3,1990,2,RTTP,14,0
8,3,1990,2,RTTP,16,0
8,3,1990,2,RTTP,18,0
8,3,1990,2,RTTP,20,0
8,3,1990,2,RTTP,22,0
8,3,1990,2,RTTP,24,0
8,3,1990,2,RTTP,26,0
8,3,1990,2,RTTP,28,0
8,3,1990,2,RTTP,30,0
8,3,1990,2,RTTP,32,0
8,3,1990,2,RTTP,34,2.77116841680411
8,3,1990,2,RTTP,36,6.23512893780925
8,3,1990,2,RTTP,38,2.77116841680411
8,3,1990,2,RTTP,40,6.92792104201028
8,3,1990,2,RTTP,42,4.84954472940719
8,3,1990,2,RTTP,44,6.23512893780925
8,3,1990,2,RTTP,46,2.77116841680411
8,3,1990,2,RTTP,48,7.62071314621131
8,3,1990,2,RTTP,50,8.31350525041233
8,3,1990,2,RTTP,52,13.8558420840206
8,3,1990,2,RTTP,54,42.9531104604637
8,3,1990,2,RTTP,56,45.7242788772678
8,3,1990,2,RTTP,58,33.2540210016493
8,3,1990,2,RTTP,60,7.62071314621131
8,3,1990,2,RTTP,62,0.692792104201028
8,3,1990,2,RTTP,64,0
8,3,1990,2,RTTP,66,1.38558420840206
8,3,1990,2,RTTP,68,0
8,3,1990,2,RTTP,70,0
8,3,1990,2,RTTP,72,0.692792104201028
8,3,1990,2,RTTP,74,0
8,3,1990,2,RTTP,76,0
8,3,1990,2,RTTP,78,0
8,3,1990,2,RTTP,80,0
8,3,1990,2,RTTP,82,0
8,3,1990,2,RTTP,84,0
8,3,1990,2,RTTP,86,0
8,3,1990,2,RTTP,88,0
8,3,1990,2,RTTP,90,0
8,3,1990,2,RTTP,92,0
8,3,1990,2,RTTP,94,0
8,3,1990,2,RTTP,96,0
8,3,1990,2,RTTP,98,0
8,3,1990,2,RTTP,100,0
8,3,1990,2,RTTP,102,0
8,3,1990,2,RTTP,104,0
8,3,1990,2,RTTP,106,0
8,3,1990,2,RTTP,108,0
8,3,1990,2,RTTP,110,0
8,3,1990,2,RTTP,112,0
8,3,1990,2,RTTP,114,0
8,3,1990,2,RTTP,116,0
8,3,1990,2,RTTP,118,0
8,3,1990,2,RTTP,120,0
8,3,1990,2,RTTP,122,0
8,3,1990,2,RTTP,124,0
8,3,1990,2,RTTP,126,0
8,3,1990,2,RTTP,128,0
8,3,1990,2,RTTP,130,0
8,3,1990,2,RTTP,132,0
8,3,1990,2,RTTP,134,0
8,3,1990,2,RTTP,136,0
8,3,1990,2,RTTP,138,0
8,3,1990,2,RTTP,140,0
8,3,1990,2,RTTP,142,0
8,3,1990,2,RTTP,144,0
8,3,1990,2,RTTP,146,0
8,3,1990,2,RTTP,148,0
8,3,1990,2,RTTP,150,0
8,3,1990,2,RTTP,152,0
8,3,1990,2,RTTP,154,0
