year,area,age,f
1964,3,2,5.073643e-11
1964,3,3,0.00021027424
1964,3,4,0.00042858414
1964,3,5,0.0016271074
1964,3,6,0.0050396685
1964,3,7,0.009309616
1964,3,8,0.012878925
1964,3,9,0.016414552
1964,3,10,0.021792067
1964,3,11,0.031188249
1964,3,12,0.044680148
1964,3,13,0.060449694
1964,3,14,0.07495282
1964,3,15,0.0841968
1964,3,16,0.08570919
1964,3,17,0.07968947
1964,3,18,0.06937699
1964,3,19,0.058414565
1964,3,20,0.048624423
1964,3,21,0.040576207
1964,3,22,0.034230642
1964,3,23,0.029327854
1964,3,24,0.025571671
1964,3,25,0.022699999
1964,3,26,0.020502488
1964,3,27,0.018817647
1964,3,28,0.01752389
1964,3,29,0.016530234
1964,3,30,0.015768485
1964,3,31,0.015187216
1964,3,32,0.014747299
1964,3,33,0.014418666
1964,3,34,0.014177975
1964,3,35,0.014006911
1964,3,36,0.013890985
1964,3,37,0.013818634
1964,3,38,0.013818634
1964,3,39,0.013818634
1964,3,40,0.013818634
1965,3,1,7.752e-11
1965,3,2,7.752e-11
1965,3,3,0.00032149187
1965,3,4,0.00065509084
1965,3,5,0.0024851874
1965,3,6,0.007689265
1965,3,7,0.014190075
1965,3,8,0.019618376
1965,3,9,0.025001159
1965,3,10,0.033202936
1965,3,11,0.047548909
1965,3,12,0.068165623
1965,3,13,0.09228266
1965,3,14,0.11448336
1965,3,15,0.12865615
1965,3,16,0.13100908
1965,3,17,0.12183753
1965,3,18,0.10609037
1965,3,19,0.08933925
1965,3,20,0.07437406
1965,3,21,0.062068795
1965,3,22,0.052365299
1965,3,23,0.044867223
1965,3,24,0.039122262
1965,3,25,0.034729862
1965,3,26,0.03136847
1965,3,27,0.028791191
1965,3,28,0.026812088
1965,3,29,0.02529203
1965,3,30,0.024126717
1965,3,31,0.023237485
1965,3,32,0.022564488
1965,3,33,0.022061733
1965,3,34,0.02169351
1965,3,35,0.02143181
1965,3,36,0.02125446
1965,3,37,0.021143772
1965,3,38,0.021143772
1965,3,39,0.021143772
1965,3,40,0.021143772
1966,3,1,8.061959e-11
1966,3,2,8.061959e-11
1966,3,3,0.00033273857
1966,3,4,0.0006793451
1966,3,5,0.002591026
1966,3,6,0.008077792
1966,3,7,0.015012501
1966,3,8,0.02084686
1966,3,9,0.026589312
1966,3,10,0.035227644
1966,3,11,0.050225247
1966,3,12,0.07164765
1966,3,13,0.09655827
1966,3,14,0.11933616
1966,3,15,0.13370911
