year,area,stage,f
2021,4,adult,0.212864435826896
2022,4,adult,0.290245985936559
2023,4,adult,0.451439991592171
2024,4,adult,0.450623305046971
1952,5,adult,0.000113493776835864
1953,5,adult,0.000976101291127786
1954,5,adult,0.00811345413501453
1955,5,adult,0.00665643074110154
1956,5,adult,0.00853397820793305
1957,5,adult,0.005559566891358
1958,5,adult,0.00847298495995643
1959,5,adult,0.010147848813741
1960,5,adult,0.00921405373872856
1961,5,adult,0.0115899660621925
1962,5,adult,0.0137355926018722
1963,5,adult,0.0168024340789079
1964,5,adult,0.0121118332988509
1965,5,adult,0.0194852391527852
1966,5,adult,0.0299004263800746
1967,5,adult,0.0212640118577744
1968,5,adult,0.0166015441223241
1969,5,adult,0.0203454439521529
1970,5,adult,0.0252693842320377
1971,5,adult,0.0232637960693332
1972,5,adult,0.0180621952668959
1973,5,adult,0.0358781497250634
1974,5,adult,0.0224224652517668
1975,5,adult,0.012290772834956
1976,5,adult,0.0248217951390648
1977,5,adult,0.0179684331240661
1978,5,adult,0.0198884956351308
1979,5,adult,0.0286163410178906
1980,5,adult,0.0321455086687788
1981,5,adult,0.0332610911648821
1982,5,adult,0.0233912849388017
1983,5,adult,0.0217953652224314
1984,5,adult,0.0177168689307353
1985,5,adult,0.0198095704222703
1986,5,adult,0.0183423361040754
1987,5,adult,0.012676177137607
1988,5,adult,0.0190605915629431
1989,5,adult,0.012677263157598
1990,5,adult,0.0170138153137609
1991,5,adult,0.0127640619302506
1992,5,adult,0.00853887950729838
1993,5,adult,0.0101841710295755
1994,5,adult,0.0159582437773572
1995,5,adult,0.0196356440970724
1996,5,adult,0.0211351363047286
1997,5,adult,0.0258747117709663
1998,5,adult,0.0307638397202986
1999,5,adult,0.026342179297308
2000,5,adult,0.0306140316433516
2001,5,adult,0.0435032745460606
2002,5,adult,0.0509449853461005
2003,5,adult,0.0636190058005997
2004,5,adult,0.060075923804087
2005,5,adult,0.0442728757841692
2006,5,adult,0.0449053044582213
2007,5,adult,0.0428769997702345
2008,5,adult,0.0534686546761552
2009,5,adult,0.0624540267350811
2010,5,adult,0.0594604891572167
2011,5,adult,0.0716779642995184
2012,5,adult,0.0645907726639681
2013,5,adult,0.0521333743443462
2014,5,adult,0.0499332773248552
2015,5,adult,0.0538994332211861
2016,5,adult,0.0537409955785626
2017,5,adult,0.06156324356885
2018,5,adult,0.0526283613945329
2019,5,adult,0.0624555912524986
2020,5,adult,0.0529524145364589
2021,5,adult,0.0435874798028874
2022,5,adult,0.0480407836981219
2023,5,adult,0.060695193976925
2024,5,adult,0.0477672643096724
1952,all,adult,0.0206699290385348
1953,all,adult,0.0187886777032851
1954,all,adult,0.0126522957288819
1955,all,adult,0.020564946283872
1956,all,adult,0.0218928004674535
1957,all,adult,0.0288240229579841
1958,all,adult,0.0428921571004018
1959,all,adult,0.04180159413951
1960,all,adult,0.0429257123947873
1961,all,adult,0.0444481613256582
1962,all,adult,0.0402934226306565
1963,all,adult,0.0518683979949125
1964,all,adult,0.0398730919436338
1965,all,adult,0.0376542027982976
1966,all,adult,0.0409219812815618
1967,all,adult,0.0431029764778179
1968,all,adult,0.0370597546579299
1969,all,adult,0.0468163245262959
1970,all,adult,0.0428464585443236
1971,all,adult,0.0446524238179332
1972,all,adult,0.0603455745536159
1973,all,adult,0.0515812250897205
1974,all,adult,0.0600648344199295
1975,all,adult,0.0814294225367016
1976,all,adult,0.0853593357898164
1977,all,adult,0.0877859358278844
1978,all,adult,0.0708753336742922
1979,all,adult,0.0914154964955366
1980,all,adult,0.0925023839850566
1981,all,adult,0.0828531378888284
1982,all,adult,0.0958062380631577
1983,all,adult,0.0840782887739216
1984,all,adult,0.0890411884196899
1985,all,adult,0.0956471813845818
1986,all,adult,0.0766089923595736
1987,all,adult,0.110542865169415
1988,all,adult,0.0936227779057465
1989,all,adult,0.0897623976201507
1990,all,adult,0.112354030110138
1991,all,adult,0.0918474704691481
1992,all,adult,0.115894029202682
1993,all,adult,0.115835965121522
1994,all,adult,0.150939509271237
1995,all,adult,0.132412132538717
1996,all,adult,0.117176763128024
1997,all,adult,0.139831744705333
1998,all,adult,0.167549655449155
1999,all,adult,0.167096222888171
2000,all,adult,0.174929088345351
2001,all,adult,0.157813366961944
2002,all,adult,0.218054717102486
2003,all,adult,0.192531592787984
2004,all,adult,0.272610945969075
2005,all,adult,0.205296960164236
2006,all,adult,0.232272056181127
2007,all,adult,0.226918968230129
2008,all,adult,0.224223566316153
2009,all,adult,0.227739867271054
2010,all,adult,0.203137934019244
2011,all,adult,0.237285399114122
2012,all,adult,0.241161018337181
2013,all,adult,0.207237264025934
2014,all,adult,0.272542632703642
2015,all,adult,0.229627227569737
2016,all,adult,0.191140310034719
2017,all,adult,0.169424096003604
2018,all,adult,0.213912951345177
2019,all,adult,0.221268853335667
2020,all,adult,0.1809321096015
2021,all,adult,0.181770987465179
2022,all,adult,0.182832512616531
