year,season,area,sb
2000,2,5,119660
2001,2,5,113460
2002,2,5,110090
2003,2,5,113190
2004,2,5,112880
2005,2,5,107890
2006,2,5,102120
2007,2,5,110930
2008,2,5,107760
2009,2,5,99809
2010,2,5,94362
2011,2,5,92331
2012,2,5,89613
2013,2,5,82611
2014,2,5,85418
2015,2,5,91701
2016,2,5,90208
2017,2,5,81908
2018,2,5,76308
2019,2,5,70702
2020,2,5,69063
2021,2,5,73093
2022,2,5,81737
2023,2,5,80106
2024,2,5,76311
1952,3,5,173710
1953,3,5,180210
1954,3,5,183000
1955,3,5,181400
1956,3,5,175940
1957,3,5,191420
1958,3,5,202570
1959,3,5,193120
1960,3,5,173280
1961,3,5,164550
1962,3,5,153460
1963,3,5,148610
1964,3,5,139460
1965,3,5,132880
1966,3,5,128650
1967,3,5,122930
1968,3,5,117560
1969,3,5,117580
1970,3,5,114460
1971,3,5,113160
1972,3,5,119440
1973,3,5,114440
1974,3,5,109140
1975,3,5,116260
1976,3,5,116650
1977,3,5,114060
1978,3,5,115560
1979,3,5,112390
1980,3,5,108640
1981,3,5,97726
1982,3,5,94636
1983,3,5,99128
1984,3,5,107800
1985,3,5,112600
1986,3,5,111020
1987,3,5,117520
1988,3,5,116790
1989,3,5,112530
1990,3,5,123780
1991,3,5,132330
1992,3,5,139570
1993,3,5,134480
1994,3,5,140710
1995,3,5,132460
1996,3,5,126440
1997,3,5,138260
1998,3,5,135400
1999,3,5,123850
2000,3,5,117490
2001,3,5,108880
2002,3,5,110190
2003,3,5,110650
2004,3,5,112320
2005,3,5,103950
2006,3,5,104040
2007,3,5,111120
2008,3,5,104520
2009,3,5,97459
2010,3,5,92837
2011,3,5,91792
2012,3,5,86910
2013,3,5,81589
2014,3,5,86543
2015,3,5,91907
2016,3,5,87576
2017,3,5,79300
2018,3,5,73946
2019,3,5,69181
2020,3,5,68168
2021,3,5,74969
2022,3,5,81774
2023,3,5,78409
2024,3,5,74704
1952,4,5,174920
1953,4,5,180670
1954,4,5,182490
1955,4,5,178450
1956,4,5,175900
1957,4,5,195160
1958,4,5,201040
1959,4,5,186900
