year,season,fishery,area,catch
2019,1,24,3,0
2020,1,24,3,0
2021,1,24,3,3
2022,1,24,3,0.7
2023,1,24,3,0
2024,1,24,3,0
1952,1,25,3,0
1953,1,25,3,0
1954,1,25,3,0
1955,1,25,3,0
1956,1,25,3,0
1957,1,25,3,0
1958,1,25,3,0
1959,1,25,3,0
1960,1,25,3,0
1961,1,25,3,0
1962,1,25,3,0
1963,1,25,3,0
1964,1,25,3,0
1965,1,25,3,0
1966,1,25,3,0
1967,1,25,3,0
1968,1,25,3,0
1969,1,25,3,0.581
1970,1,25,3,0
1971,1,25,3,5.829
1972,1,25,3,5.277
1973,1,25,3,62.897
1974,1,25,3,31.704
1975,1,25,3,43.107
1976,1,25,3,216.084
1977,1,25,3,300.529
1978,1,25,3,343.43
1979,1,25,3,198.009
1980,1,25,3,238.879
1981,1,25,3,1333.75
1982,1,25,3,3697.28
1983,1,25,3,3433.99
1984,1,25,3,5478.52
1985,1,25,3,2973.65
1986,1,25,3,7669.03
1987,1,25,3,5967.23
1988,1,25,3,6715.24
1989,1,25,3,4650.47
1990,1,25,3,8526.52
1991,1,25,3,9391.88
1992,1,25,3,9677.96
1993,1,25,3,9762.53
1994,1,25,3,9375.98
1995,1,25,3,7908.6
1996,1,25,3,10048
1997,1,25,3,10566.6
1998,1,25,3,11101.3
1999,1,25,3,10290.5
2000,1,25,3,9840.74
2001,1,25,3,7434.16
2002,1,25,3,19474.3
2003,1,25,3,10306.1
2004,1,25,3,14443.4
2005,1,25,3,11235.1
2006,1,25,3,11525.2
2007,1,25,3,12679.7
2008,1,25,3,14633
2009,1,25,3,10201.9
2010,1,25,3,9350.57
2011,1,25,3,22211.8
2012,1,25,3,9757.19
2013,1,25,3,11962.9
2014,1,25,3,16794.1
2015,1,25,3,7259.34
2016,1,25,3,9643.4
2017,1,25,3,10340.3
2018,1,25,3,10224.1
2019,1,25,3,5707.39
2020,1,25,3,6346.21
2021,1,25,3,14141
2022,1,25,3,11598.5
2023,1,25,3,7374.93
2024,1,25,3,7627.91
1952,1,26,4,0
1953,1,26,4,0
1954,1,26,4,0
1955,1,26,4,0
1956,1,26,4,0
1957,1,26,4,0
1958,1,26,4,0
1959,1,26,4,0
1960,1,26,4,0
1961,1,26,4,0
1962,1,26,4,0
1963,1,26,4,0
1964,1,26,4,0
1965,1,26,4,0
1966,1,26,4,0
1967,1,26,4,0
1968,1,26,4,0
1969,1,26,4,0
1970,1,26,4,0
1971,1,26,4,0
1972,1,26,4,0
1973,1,26,4,0
1974,1,26,4,0
1975,1,26,4,0
1976,1,26,4,0
1977,1,26,4,0
1978,1,26,4,0
1979,1,26,4,0
1980,1,26,4,0
1981,1,26,4,0
1982,1,26,4,0
1983,1,26,4,16.305
1984,1,26,4,0
1985,1,26,4,8.97
1986,1,26,4,0
1987,1,26,4,0
1988,1,26,4,0
1989,1,26,4,0
1990,1,26,4,0
1991,1,26,4,2.155
1992,1,26,4,258.296
1993,1,26,4,0
1994,1,26,4,0
1995,1,26,4,0
1996,1,26,4,40.329
1997,1,26,4,414.908
1998,1,26,4,570.435
1999,1,26,4,38.726
2000,1,26,4,818.457
2001,1,26,4,113.791
2002,1,26,4,829.508
2003,1,26,4,0
2004,1,26,4,1110.18
2005,1,26,4,211.36
2006,1,26,4,213.541
2007,1,26,4,1002.21
2008,1,26,4,3005.72
2009,1,26,4,3271.32
2010,1,26,4,3297.16
2011,1,26,4,3510.27
2012,1,26,4,3927.94
2013,1,26,4,6142.33
2014,1,26,4,6241.7
2015,1,26,4,3708.69
2016,1,26,4,689.523
2017,1,26,4,4197.63
2018,1,26,4,8679
2019,1,26,4,3404.08
2020,1,26,4,5405.41
2021,1,26,4,5150.18
2022,1,26,4,3746.66
2023,1,26,4,4826.75
2024,1,26,4,1871.76
1952,1,27,3,0
1953,1,27,3,0
1954,1,27,3,0
1955,1,27,3,0
1956,1,27,3,0
1957,1,27,3,0
1958,1,27,3,0
1959,1,27,3,0
1960,1,27,3,0
1961,1,27,3,0
1962,1,27,3,0
1963,1,27,3,0
1964,1,27,3,0
1965,1,27,3,0
1966,1,27,3,0
1967,1,27,3,0
1968,1,27,3,0
1969,1,27,3,0
1970,1,27,3,0
1971,1,27,3,0
1972,1,27,3,0
1973,1,27,3,6.884
1974,1,27,3,0
1975,1,27,3,3.166
1976,1,27,3,0
1977,1,27,3,0
1978,1,27,3,28.061
1979,1,27,3,1.765
1980,1,27,3,30.457
1981,1,27,3,38.123
1982,1,27,3,196.4
1983,1,27,3,449.873
1984,1,27,3,361.415
1985,1,27,3,478.068
1986,1,27,3,285.164
1987,1,27,3,1237.92
1988,1,27,3,417.964
1989,1,27,3,671.114
1990,1,27,3,855.899
1991,1,27,3,2092.89
1992,1,27,3,1140.9
1993,1,27,3,1763.61
1994,1,27,3,838.165
1995,1,27,3,2977.4
1996,1,27,3,999.23
1997,1,27,3,826.745
1998,1,27,3,2508.77
1999,1,27,3,644.927
